I.D,,Department,Group,Teacher,Gender,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,M1,Q1.2,Q2.2,Q3.2,Q4.2,M2,Q1.3,Q2.3,Q3.3,Q4.3,Q5.3,Q6.3,M3,Q1.4,Q2.4,Q3.4,Q4.4,Q5.4,Q6.4,Final
172,214,40,3,B,M,4,4,4,8,6,8,34,10,19,23,4,56,0,0,0,0,0,0,0,12,0,10,4,7,10,43
173,4317,26,7,M,F,?,?,?,?,?,?,0,?,?,?,?,0,0,1,1,0,0,0,2,5,0,4,0,7,1,17
174,316,25,9,M,M,8,2,4,7,8,8,37,6,20,32,9,67,7,10,3,7,9,7,43,12,12,10,9,14,10,67
175,1497,25,10,M,M,8,3,4,8,8,8,39,10,20,22,9,61,0,0,0,0,0,0,0,10,13,10,6,4,7,50
176,2469,20,6,M,F,5,1,0,6,1.5,3,16.5,0,20,19,6,45,8,2,0,0,0,0,10,0,0,0,2,2,10,14
177,3946,24,8,M,M,2,2,4,8,6,4,26,0,17,23,7,47,3,1,1,0,10,8,23,12,0,10,3,14,7,46
178,4437,26,10,M,M,5,4,0,5,0,2,16,0,8,6,5,19,0,1,0,0,0,10,11,4,0,4,5,3,7,23
179,5036,25,8,M,M,2,2,0,4,0,0,8,4,20,17,8,49,4,3,1,0,0,10,18,?,?,?,?,?,?,0
180,6149,20,10,M,M,7,4,4,8,6,6,35,0,12,16,1,29,3,9,3,0,10,5,30,2,0,6,11,11,10,40
181,7359,28,8,M,M,0,1,0,0,0,0,1,0,15,9,3,27,0,1,0,0,7,9,17,0,0,5,4,0,7,16
182,7723,25,8,M,M,7,3,0,4,0,4,18,0,15,16,5,36,5,7,7,0,3,10,32,3,0,4,6,11,10,34
183,8485,25,7,M,F,5,0,0,8,1,3,17,?,?,?,?,0,0,3,0,0,0,5,8,0,0,10,0,5,10,25
184,9435,24,6,M,M,?,?,?,?,?,?,0,4,18,8,0,30,2,5,1,0,7,0,15,12,0,6,4,11,10,43
185,417,22,9,M,M,6,0,4,5,0,3,18,1,16,16,9,42,?,?,?,?,?,?,0,8,6,8,0,0,7,29
186,727,25,8,M,M,?,?,?,?,?,?,0,2,20,20,9,51,0,0,0,0,0,9,9,0,0,10,3,9,7,29
187,395,45,9,M,M,4,4,0,6,0,2,16,10,20,26,9,65,5,0,3,0,10,6,24,12,6,8,5,7,10,48
188,1548,25,6,M,M,8,2,4,8,8,6,36,10,17,32,10,69,10,1,5,9,9,7,41,10,0,2,12,6,10,40
189,2509,40,9,M,F,7,0,0,5,0.5,4,16.5,0,4,13,9,26,0,4,3,1,8,9,25,0,6,10,0,2,7,25
190,4007,28,9,M,M,8,4,4,8,8,8,40,10,20,38,8,76,?,?,?,?,?,?,0,12,12,10,12,14,11,71
191,4472,26,7,M,M,7,4,3,8,7,6,35,2,14,29,9,54,5,8,3,0,10,10,36,8,0,9,3,12,10,42
192,5188,25,8,M,M,8,3,4,6,3,7,31,0,17,14,9,40,10,1,0,2,2,6,21,10,12,7,8,0,12,49
193,6246,22,6,M,F,3,0,0,3,8,2,16,0,8,16,0,24,2,1,0,0,0,0,3,0,0,1,4,7,0,12
194,7372,28,10,M,M,6,4,4,8,8,8,38,10,14,30,9,63,10,1,5,8,10,8,42,12,6,10,12,13,14,67
195,7745,25,6,M,M,8,3,2,8,8,4,33,0,20,24,6,50,?,?,?,?,?,?,0,0,0,6,4,14,10,34
196,8622,26,10,M,M,3,3,4,3,4,0,17,0,8,5,0,13,0,2,3,0,4,0,9,0,0,0,0,0,7,7
197,9492,25,6,M,M,0,0,0,0,0,0,0,0,2,0,3,5,5,0,0,0,0,2,7,10,0,0,0,0,0,10
198,463,40,7,M,M,8,4,4,8,4,6,34,6,17,30,9,62,6,7,3,7,10,0,33,10,6,10,2,2,10,40
199,4799,22,6,M,M,?,?,?,?,?,?,0,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,0
200,554,21,7,M,F,3,3,0,8,2,6,22,1,10,20,9,40,0,4,0,0,9,8,21,0,0,4,7,8,7,26
201,1656,25,9,M,M,6,4,0,6,0,2,18,0,10,29,2,41,0,3,4,0,0,6,13,0,0,0,6,14,7,27
202,2606,24,10,M,F,4,2,4,8,5,6,29,1,10,12,9,32,0,4,2,0,9,9,24,0,6,4,2,1,10,23
203,4018,21,8,M,M,8,4,4,2,8,5,31,10,20,10,9,49,10,10,9,10,10,10,59,12,12,10,12,6,10,62
